timestampSinceStart (ms),cpu (%), mem (%) 
4211,0,47
6562,25,47
8913,0,47
11265,0,47
13617,0,47
15967,0,47
18317,0,47
20669,0,47
23020,0,47
25371,0,47
27723,25,47
30075,0,47
32427,25,47
34777,25,47
37129,0,47
39479,0,47
41830,0,47
44181,0,47
46532,0,47
48884,0,47
51236,0,47
53587,0,47
55938,25,47
58288,0,47
60640,0,47
62991,0,47
65342,0,47
67692,0,47
70043,0,47
72393,33,47
74744,0,47
77094,25,47
79446,0,47
81796,0,47
84148,0,47
86499,0,47
88850,0,47
91202,25,47
93553,25,47
95903,0,47
98255,25,47
100612,0,47
102966,0,47
105316,0,47
107668,0,47
110018,25,47
112367,0,47
114717,25,47
117068,0,47
119420,0,47
121771,25,47
124122,25,47
126474,25,47
128825,0,47
131175,0,47
133526,25,47
135878,25,47
138229,0,47
140582,25,47
142933,0,47
145283,0,47
147635,50,47
149986,0,47
152336,0,47
154687,25,47
157038,25,47
159392,25,47
161742,0,47
164093,25,47
166444,0,47
168795,25,47
171146,25,47
173496,0,47
175848,0,47
178198,0,47
180549,0,47
182899,0,47
185250,0,47
187601,25,47
189955,25,48
192307,25,48
194658,0,48
197009,25,48
199360,0,48
201710,0,48
204061,0,48
206412,0,48
208766,0,48
211117,0,48
213469,0,48
215820,0,48
218172,0,48
220523,25,48
222874,50,48
225225,0,48
227574,25,48
229925,0,48
232275,0,48
234625,25,48
236976,0,48
239328,0,48
241680,0,48
244031,0,48
246383,25,48
248734,0,48
251086,25,48
253438,50,48
255790,0,48
258140,0,48
260491,0,48
262843,0,48
265194,25,48
267546,50,48
269897,33,48
272249,0,48
274601,0,48
276952,0,48
279305,0,48
281654,0,48
284006,0,48
286356,0,48
288707,0,48
291060,0,48
293410,0,48
295763,50,48
298114,0,48
300465,25,48
302816,0,48
305167,0,48
307517,0,48
309869,0,48
312219,0,48
314571,25,48
316922,25,48
319274,0,48
321624,0,48
323975,0,48
326326,25,48
328678,25,48
331029,25,48
333379,0,48
335730,0,48
338081,25,48
340434,0,48
342785,0,48
345136,0,48
347487,0,48
349839,0,48
352190,25,48
354540,0,48
356893,0,48
359244,0,48
361595,0,48
363946,25,48
366297,0,48
368647,0,48
371000,0,48
373351,0,48
375702,0,48
378054,0,48
380404,0,48
382755,25,48
385105,0,48
387458,0,48
389809,0,48
392160,0,48
394511,0,48
396863,25,48
399214,25,48
401566,25,48
403917,25,48
406268,0,48
408619,0,48
410970,0,48
413322,25,48
415672,0,48
418023,0,48
420374,25,48
422726,25,48
425077,25,48
427428,0,48
429778,0,48
432131,25,48
434482,0,48
436833,25,48
439184,0,48
441534,25,48
443885,25,48
446236,0,48
448588,0,48
450941,0,48
453293,25,48
455644,0,48
457995,0,48
460345,25,48
462695,0,48
465047,25,48
467398,25,48
469760,0,48
472111,25,48
474462,0,48
476813,0,48
479164,0,48
481517,0,48
483868,0,48
486220,0,48
488570,0,48
490922,25,48
493274,0,48
495626,25,48
497975,0,48
500326,25,48
502677,25,48
505028,0,48
507380,0,48
509733,0,48
512083,0,48
514434,25,48
516785,0,48
519135,0,48
521486,25,48
523837,25,48
526187,0,48
528538,50,48
530889,25,48
533239,0,48
535589,25,48
537942,0,48
540294,0,48
542644,0,48
544996,0,48
547347,0,48
549698,25,48
552050,25,48
554401,0,48
556753,0,48
559104,0,48
561455,25,48
563805,25,48
566158,0,48
568510,0,48
570862,0,48
573214,25,48
575565,50,48
577916,0,48
580268,0,48
582619,0,48
584971,0,48
587323,50,48
589675,25,48
592026,0,48
594380,0,48
596730,25,48
599081,25,48
